time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1780074000,4566.78,4568.41,4563.33,4563.93,4577.43,4435.929999999999,4531.14024437669,,
1780074900,4563.93,4566.89,4560.69,4561.98,4577.43,4435.929999999999,4531.648630436816,,
1780075800,4561.98,4562.36,4553.09,4553.97,4577.43,4435.929999999999,4531.990734861158,,
1780076700,4553.97,4557.56,4551.42,4553.39,4577.43,4435.929999999999,4532.245597615153,,
1780077600,4553.39,4558.7,4552.39,4558.13,4577.43,4435.929999999999,4532.516585449881,,
1780078500,4558.13,4560.19,4555.45,4559.21,4577.43,4435.929999999999,4532.733972473248,,
1780079400,4559.21,4561.52,4557.44,4557.86,4577.43,4435.929999999999,4532.8917974375345,,
1780080300,4557.86,4557.86,4550.69,4553.32,4577.43,4435.929999999999,4533.20388185549,,
1780081200,4553.32,4560.11,4552.33,4558.3,4577.43,4435.929999999999,4533.388117426044,,
1780082100,4558.3,4559.04,4554.74,4555.27,4577.43,4435.929999999999,4533.541188528496,,
1780083000,4555.27,4556.27,4551.13,4551.51,4577.43,4435.929999999999,4533.712860289244,,
1780083900,4551.51,4551.68,4542.77,4545.72,4577.43,4435.929999999999,4533.96500668964,,
1780084800,4545.72,4549.16,4542.8,4548.79,4577.43,4435.929999999999,4534.056878709197,,
1780085700,4548.79,4548.82,4541.94,4542.35,4577.43,4435.929999999999,4534.089703599412,,
1780086600,4542.35,4543.73,4541.01,4543.42,4577.43,4435.929999999999,4534.10371039357,,
1780264800,4543.42,4543.42,4517.57,4534.31,,,4531.766666666666,,
1780265700,4534.31,4536.48,4530.91,4533.12,,,4532.404036044745,,
1780266600,4533.12,4536.48,4530.76,4535.53,,,4532.841816871452,,
1780267500,4535.53,4540.44,4534.73,4535.22,,,4533.518304336422,,
1780268400,4535.22,4543.26,4534.61,4542.62,,,4534.329743520863,,
1780269300,4542.62,4545.32,4540.1,4544.99,,,4535.410962193499,,
1780270200,4544.99,4545.88,4538.19,4541.91,,,4536.232905846239,,
1780271100,4541.91,4544.82,4538.26,4539.15,,,4536.806966611536,,
1780272000,4539.15,4546.14,4537.17,4540.35,,,4537.583105592707,,
1780272900,4540.35,4544.36,4537.42,4543.33,,,4538.059035904004,,
1780273800,4543.33,4545.14,4535.23,4535.97,,,4538.129649957518,,
1780274700,4535.97,4542.76,4535.68,4540.55,,,4538.271977287908,,
1780275600,4540.55,4541.48,4525.81,4533.88,,,4537.56030159597,,
1780276500,4533.88,4536.56,4527.89,4528.81,,,4536.928160533808,,
1780277400,4528.81,4533.83,4526.96,4533.03,,,4536.449777944861,,
1780278300,4533.03,4533.59,4523.71,4525.14,,,4535.754899687534,,
1780279200,4525.14,4534.04,4524.24,4532.06,,,4535.411646999702,,
1780280100,4532.06,4534.63,4529.47,4530.38,,,4535.281799248388,,
1780281000,4530.38,4531.11,4522.27,4523,,,4534.623588142128,,
1780281900,4523,4525.11,4521.09,4521.56,,,4534.0439069162885,,
1780282800,4521.56,4525.54,4515.4,4518.83,,,4533.361114026016,,
1780283700,4518.83,4521.37,4513.49,4520.43,,,4532.68069813069,,
1780284600,4520.43,4523.96,4509.53,4510.58,,,4532.044515768446,,
1780285500,4510.58,4516.37,4509.74,4516.28,,,4531.603273948125,,
1780286400,4516.28,4519.78,4512.28,4514.75,4577.019999999999,4488.170000000001,4531.252556942523,,
1780287300,4514.75,4518.59,4514.72,4515.82,4577.019999999999,4488.170000000001,4531.0244180219515,,
1780288200,4515.82,4517.28,4513.53,4514.52,4577.019999999999,4488.170000000001,4530.719433593497,,
1780289100,4514.52,4515.15,4507.94,4514.44,4577.019999999999,4488.170000000001,4530.272478622797,,
1780290000,4514.44,4519.11,4513.54,4518.21,4577.019999999999,4488.170000000001,4529.970977049664,,
1780290900,4518.21,4523.64,4517.63,4520.51,4577.019999999999,4488.170000000001,4529.779306044998,,
1780291800,4520.51,4522.14,4512.58,4519.85,4577.019999999999,4488.170000000001,4529.236829871896,,
1780292700,4519.85,4525.36,4516.96,4517.85,4577.019999999999,4488.170000000001,4528.907313437517,,
1780293600,4517.85,4518.62,4512.44,4514.02,4577.019999999999,4488.170000000001,4528.336576126094,,
1780294500,4514.02,4515.7,4504.78,4514.44,4577.019999999999,4488.170000000001,4527.6757781629685,,
1780295400,4514.44,4514.87,4501.51,4504.58,4577.019999999999,4488.170000000001,4526.899663648926,,
1780296300,4504.58,4505.06,4500.1,4501.55,4577.019999999999,4488.170000000001,4526.002532673247,,
